,Special,Organization Name,Majors,CompSci,AllMajors,Math,Degrees Sought,Position Types,US Work Authorization Required?
1,,AB (formerly AllianceBernstein),CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",No
2,,Adobe Systems ,"Stats, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern",No
3,,Advisory Board Company,CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",No
4,Actuarial Section,AIG,All Majors,FALSE,TRUE,FALSE,"BS, MS","FT, Intern",No
5,,Airbnb,"Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern",No
6,,AirWatch by VMware,CS,TRUE,FALSE,FALSE,"BS, MS, Ph.D.",FT,Yes
7,,Alarm.com,CS,TRUE,FALSE,FALSE,"BS, MS",FT,Yes
8,,Allegro Development,"CS, Math, Stats",TRUE,FALSE,TRUE,"BA, MS",FT,Yes
9,,Amazon,CS,TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern",No
10,Actuarial Section,American Airlines,"Stats, Math, CS",TRUE,FALSE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern",No
11,,American Express,CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",Yes
12,,AmeriCorps,All Majors,FALSE,TRUE,FALSE,"BS, Cert, MS",FT,Yes
13,,Amplifi Commerce,CS,TRUE,FALSE,FALSE,BS,FT,Yes
14,,Andreessen Horowitz,CS,TRUE,FALSE,FALSE,BS,FT,Yes
15,,Aon,All Majors,FALSE,TRUE,FALSE,BS,"FT, Intern",Yes
16,,Applied Research Laboratories (ARL),"CS, Math, Physics",TRUE,FALSE,TRUE,"BA, MS, Ph.D.","FT, Intern",Yes
17,,Apprenda,"CS, Math",TRUE,FALSE,TRUE,"BA, MS, Ph.D.","FT, Intern",No
18,,AT&T,"Stats, Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern",Yes
19,,"athenahealth, Inc.","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern",Yes
20,,Bazaarvoice,CS,TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern",No
21,,Bentley Systems,CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",Yes
22,,Blackbaud,CS,TRUE,FALSE,FALSE,BS,"FT, Intern",Yes
23,,Blizzard Entertainment,CS,TRUE,FALSE,FALSE,"BS, Cert, MS, Ph.D.","FT, Intern",Yes
24,,Bloomberg,"Math, Physics, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern",No
25,,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX",All Majors,FALSE,TRUE,FALSE,,"FT, Intern",Yes
26,,Bluebeam Software,"CS, Math",TRUE,FALSE,TRUE,BS,"FT, Intern",Yes
27,,Booz Allen Hamilton,All Majors,FALSE,TRUE,FALSE,"BS, MS",FT,Yes
28,,Broadleaf Commerce,CS,TRUE,FALSE,FALSE,"BA, MS, Ph.D.","FT, Intern",No
29,Actuarial Section,"Buck Consultants, LLC, A Xerox Company ",Math,FALSE,FALSE,TRUE,,"FT, Intern",Yes
30,,"Buoy, Inc.","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,,FT,Yes
31,Actuarial Section,Burns and Wilcox,All Majors,FALSE,TRUE,FALSE,,"FT, Intern",Yes
32,,CA Technologies,CS,TRUE,FALSE,FALSE,BS,"FT, Intern",Yes
33,,Capital One,"Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,FALSE,TRUE,BS,"FT, Intern",Yes
34,,CAPSHER,"CS, Math, Physics",TRUE,FALSE,TRUE,,"FT, Intern",Yes
35,,CGG,"Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.",FT,No
36,,Charles Schwab & Co.,All Majors,FALSE,TRUE,FALSE,"BS, MS","FT, Intern",Yes
37,,Chevron,"Math, CS",TRUE,FALSE,TRUE,BS,"FT, Intern",Yes
38,Actuarial Section,Cigna,"Stats, Math",FALSE,FALSE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern",No
39,,Citadel LLC,All Majors,FALSE,TRUE,FALSE,,"FT, Intern",No
40,,Citi,"Stats, Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern",Yes
41,,Citrix,CS,TRUE,FALSE,FALSE,,"FT, Intern",No
42,,Civilian Logistics Career Management Office (CLCMO),All Majors,FALSE,TRUE,FALSE,,"FT, Intern",No
43,,Civitas Learning,"Math, CS",TRUE,FALSE,TRUE,"BS, MS",FT,Yes
44,,Clover Network,"CS, Physics, Math, Stats, TXA",TRUE,FALSE,TRUE,,"FT, Intern",Yes
45,,ConocoPhillips,CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",Yes
46,,Cox Automotive,"Physics, Math, CS",TRUE,FALSE,TRUE,BS,"FT, Intern",Yes
47,,Cray,"CS, Math",TRUE,FALSE,TRUE,"BA, MS, Ph.D.","FT, Intern",No
48,,Credera,"CS, Elements of Comp Cert.",TRUE,FALSE,FALSE,BA,"FT, Intern",Yes
49,,CSC,CS,TRUE,FALSE,FALSE,"BA, MS",FT,No
50,,CSX Corporation ,CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",Yes
51,,Customer Marketing Group,"Stats, Physics, Math",FALSE,FALSE,TRUE,"BS, MS, Ph.D.",Intern,No
52,,Cvent,All Majors,FALSE,TRUE,FALSE,"BS, MS",FT,No
53,,Dante Consulting,"CS, Math",TRUE,FALSE,TRUE,BA,FT,Yes
54,,Dealertrack,CS,TRUE,FALSE,FALSE,"BS, MS",FT,No
55,,"Dell, Inc.",CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",No
56,Technology Start Up Village,Delphix,CS,TRUE,FALSE,FALSE,BS,"FT, Intern",No
57,,Denim Group,CS,TRUE,FALSE,FALSE,BA,FT,Yes
58,,Dimensional Fund Advisors,All Majors,FALSE,TRUE,FALSE,,"FT, Intern",Yes
59,,DIRECTV,CS,TRUE,FALSE,FALSE,BS,Intern,Yes
60,Technology Start Up Village,DraftKings,CS,TRUE,FALSE,FALSE,,"FT, Intern",No
61,,Elbit Systems of America,"CS, Physics, Math, Stats",TRUE,FALSE,TRUE,,"FT, Intern",Yes
62,,Emerson Electric,CS,TRUE,FALSE,FALSE,"BS, MS","FT, Intern",Yes
