"","X","Special","Organization.Name","Majors","CompSci","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","variable","value"
"4",4,"Actuarial Section","AIG","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","No","All.Majors","All Majors"
"12",12,NA,"AmeriCorps","All Majors",FALSE,FALSE,"BS, Cert, MS","FT","Yes","All.Majors","All Majors"
"15",15,NA,"Aon","All Majors",FALSE,FALSE,"BS","FT, Intern","Yes","All.Majors","All Majors"
"25",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"27",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","All.Majors","All Majors"
"31",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"36",36,NA,"Charles Schwab & Co.","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","All.Majors","All Majors"
"39",39,NA,"Citadel LLC","All Majors",FALSE,FALSE,NA,"FT, Intern","No","All.Majors","All Majors"
"42",42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,FALSE,NA,"FT, Intern","No","All.Majors","All Majors"
"52",52,NA,"Cvent","All Majors",FALSE,FALSE,"BS, MS","FT","No","All.Majors","All Majors"
"58",58,NA,"Dimensional Fund Advisors","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"83",83,NA,"Goldman Sachs","All Majors",FALSE,FALSE,"BS","Intern","No","All.Majors","All Majors"
"91",91,NA,"HMS -Â­â (Health Management System)","All Majors",FALSE,FALSE,"BA","Intern","Yes","All.Majors","All Majors"
"96",96,NA,"Identropy, Inc.","All Majors",FALSE,FALSE,NA,"FT","No","All.Majors","All Majors"
"98",98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"124",124,NA,"o9 Solutions, Inc.","All Majors",FALSE,FALSE,NA,"FT, Intern","No","All.Majors","All Majors"
"132",132,NA,"Peace Corps","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","All.Majors","All Majors"
"136",136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,FALSE,NA,"FT","Yes","All.Majors","All Majors"
"155",155,NA,"Rx Wiki","All Majors",FALSE,FALSE,NA,"FT","Yes","All.Majors","All Majors"
"166",166,NA,"Spredfast","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"172",172,NA,"Target Corporation","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","All.Majors","All Majors"
"176",176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,FALSE,"BA, MS","Intern","Yes","All.Majors","All Majors"
"178",178,NA,"Texas Water Development Board","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","All.Majors","All Majors"
"190",190,"Technology Start Up Village","Umbel","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","All.Majors","All Majors"
"196",196,NA,"US Marine Corps Officer Selection Team Austin, TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"197",197,NA,"US Navy","All Majors",FALSE,FALSE,"BA","FT","Yes","All.Majors","All Majors"
"200",200,NA,"UT Health School of Biomedical Informatics at Hou","All Majors",FALSE,FALSE,"BA","FT","No","All.Majors","All Majors"
"212",212,NA,"WP Engine","All Majors",FALSE,FALSE,"BS","FT","Yes","All.Majors","All Majors"
"213",213,NA,"Xerox","All Majors",FALSE,FALSE,NA,"FT","No","All.Majors","All Majors"
"215",215,NA,"YES Prep Public Schools","All Majors",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","All.Majors","All Majors"
"216",1,NA,"AB (formerly AllianceBernstein)","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"217",2,NA,"Adobe Systems ","Stats, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"218",3,NA,"Advisory Board Company","CS",TRUE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"219",4,"Actuarial Section","AIG","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"220",5,NA,"Airbnb","Stats, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"221",6,NA,"AirWatch by VMware","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT","Yes","CS","CS"
"222",7,NA,"Alarm.com","CS",TRUE,FALSE,"BS, MS","FT","Yes","CS","CS"
"223",8,NA,"Allegro Development","CS, Math, Stats",TRUE,TRUE,"BA, MS","FT","Yes","CS","CS"
"224",9,NA,"Amazon","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"225",10,"Actuarial Section","American Airlines","Stats, Math, CS",TRUE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern","No","CS","CS"
"226",11,NA,"American Express","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"227",12,NA,"AmeriCorps","All Majors",FALSE,FALSE,"BS, Cert, MS","FT","Yes","CS","CS"
"228",13,NA,"Amplifi Commerce","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"229",14,NA,"Andreessen Horowitz","CS",TRUE,FALSE,"BS","FT","Yes","CS","CS"
"230",15,NA,"Aon","All Majors",FALSE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"231",16,NA,"Applied Research Laboratories (ARL)","CS, Math, Physics",TRUE,TRUE,"BA, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"232",17,NA,"Apprenda","CS, Math",TRUE,TRUE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"233",18,NA,"AT&T","Stats, Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"234",19,NA,"athenahealth, Inc.","Physics, Math, CS",TRUE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"235",20,NA,"Bazaarvoice","CS",TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"236",21,NA,"Bentley Systems","CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"237",22,NA,"Blackbaud","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"238",23,NA,"Blizzard Entertainment","CS",TRUE,FALSE,"BS, Cert, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"239",24,NA,"Bloomberg","Math, Physics, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"240",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"241",26,NA,"Bluebeam Software","CS, Math",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"242",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","CS","CS"
"243",28,NA,"Broadleaf Commerce","CS",TRUE,FALSE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"245",30,NA,"Buoy, Inc.","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","CS","CS"
"246",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"247",32,NA,"CA Technologies","CS",TRUE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"248",33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS","FT, Intern","Yes","CS","CS"
