"","X.1","X","Special","Organization.Name","Majors","CompSci","AllMajors","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","Seeking_Major","value"
"1",4,4,"Actuarial Section","AIG","All Majors",FALSE,TRUE,FALSE,"BS, MS","FT, Intern","No","All.Majors","All Majors"
"2",12,12,NA,"AmeriCorps","All Majors",FALSE,TRUE,FALSE,"BS, Cert, MS","FT","Yes","All.Majors","All Majors"
"3",15,15,NA,"Aon","All Majors",FALSE,TRUE,FALSE,"BS","FT, Intern","Yes","All.Majors","All Majors"
"4",25,25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"5",27,27,NA,"Booz Allen Hamilton","All Majors",FALSE,TRUE,FALSE,"BS, MS","FT","Yes","All.Majors","All Majors"
"6",31,31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"7",36,36,NA,"Charles Schwab & Co.","All Majors",FALSE,TRUE,FALSE,"BS, MS","FT, Intern","Yes","All.Majors","All Majors"
"8",39,39,NA,"Citadel LLC","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","No","All.Majors","All Majors"
"9",42,42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","No","All.Majors","All Majors"
"10",52,52,NA,"Cvent","All Majors",FALSE,TRUE,FALSE,"BS, MS","FT","No","All.Majors","All Majors"
"11",58,58,NA,"Dimensional Fund Advisors","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"12",83,83,NA,"Goldman Sachs","All Majors",FALSE,TRUE,FALSE,"BS","Intern","No","All.Majors","All Majors"
"13",91,91,NA,"HMS -­‐ (Health Management System)","All Majors",FALSE,TRUE,FALSE,"BA","Intern","Yes","All.Majors","All Majors"
"14",96,96,NA,"Identropy, Inc.","All Majors",FALSE,TRUE,FALSE,NA,"FT","No","All.Majors","All Majors"
"15",98,98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"16",124,124,NA,"o9 Solutions, Inc.","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","No","All.Majors","All Majors"
"17",132,132,NA,"Peace Corps","All Majors",FALSE,TRUE,FALSE,"BS, MS","FT","Yes","All.Majors","All Majors"
"18",136,136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,TRUE,FALSE,NA,"FT","Yes","All.Majors","All Majors"
"19",155,155,NA,"Rx Wiki","All Majors",FALSE,TRUE,FALSE,NA,"FT","Yes","All.Majors","All Majors"
"20",166,166,NA,"Spredfast","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"21",172,172,NA,"Target Corporation","All Majors",FALSE,TRUE,FALSE,"BS, MS","FT, Intern","Yes","All.Majors","All Majors"
"22",176,176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,TRUE,FALSE,"BA, MS","Intern","Yes","All.Majors","All Majors"
"23",178,178,NA,"Texas Water Development Board","All Majors",FALSE,TRUE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","All.Majors","All Majors"
"24",190,190,"Technology Start Up Village","Umbel","All Majors",FALSE,TRUE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","All.Majors","All Majors"
"25",196,196,NA,"US Marine Corps Officer Selection Team Austin, TX","All Majors",FALSE,TRUE,FALSE,NA,"FT, Intern","Yes","All.Majors","All Majors"
"26",197,197,NA,"US Navy","All Majors",FALSE,TRUE,FALSE,"BA","FT","Yes","All.Majors","All Majors"
"27",200,200,NA,"UT Health School of Biomedical Informatics at Hou","All Majors",FALSE,TRUE,FALSE,"BA","FT","No","All.Majors","All Majors"
"28",212,212,NA,"WP Engine","All Majors",FALSE,TRUE,FALSE,"BS","FT","Yes","All.Majors","All Majors"
"29",213,213,NA,"Xerox","All Majors",FALSE,TRUE,FALSE,NA,"FT","No","All.Majors","All Majors"
"30",215,215,NA,"YES Prep Public Schools","All Majors",FALSE,TRUE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","All.Majors","All Majors"
"31",1,1,NA,"AB (formerly AllianceBernstein)","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"32",2,2,NA,"Adobe Systems ","Stats, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"33",3,3,NA,"Advisory Board Company","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"34",5,5,NA,"Airbnb","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
